"Biochar","Metal","n","Ce_min","Ce_max","Qe_mean","Qe_sd"
"MSP550","Cd",24,0.16119085,23.65398,4.34414640166667,3.15179276586691
"MSP550","Pb",24,0.00980752,29.74596,14.241618714,14.6109421665133
"MSP550","Zn",24,0.027018966,22.2625128,2.152758930875,1.29115039536515
"OSR550","Cd",24,0.05339506,8.68612,8.81606615866667,7.49878150354592
"OSR550","Pb",24,0.01091633,15.02111,16.7956301366667,18.2992355641876
"OSR550","Zn",24,0.021407042,14.0221237,4.13934434679167,3.41278758226073
"OSR700","Cd",24,0.06613368,8.32111,9.24435954733333,7.9315455912447
"OSR700","Pb",27,0.01009351,37.022949,22.2459698574815,22.7987407670546
"OSR700","Zn",24,0.024504959,12.134,4.69621720854167,4.21015595605787
"WSP550","Cd",24,0.07058792,10.34587,8.37596848966667,7.15296047895077
"WSP550","Pb",27,0.01293548,19.45967,15.3637162628148,16.7807150982262
"WSP550","Zn",24,0.020327772,17.0557636,3.5754775665,2.69708690818681
