"term","estimate","std.error","statistic","p.value","model","AIC","Biochar","Metal"
"Qmax",8.93176730277551,0.766198571873243,11.6572486959075,6.92145480263633e-11,"MSP550.Cd",76.9901947243672,"MSP550","Cd"
"KL",0.324432517053672,0.0972908379468987,3.33466669524161,0.00300428192937905,"MSP550.Cd",76.9901947243672,"MSP550","Cd"
"Qmax",36.4733255874077,3.01717353695793,12.0885740049881,3.45151900236424e-11,"MSP550.Pb",157.760396404202,"MSP550","Pb"
"KL",1.02316552698346,0.40217203658283,2.54409912652576,0.018491383639144,"MSP550.Pb",157.760396404202,"MSP550","Pb"
"Qmax",3.26838164995188,0.212686221595829,15.3671527258726,3.01671080887866e-13,"MSP550.Zn",54.486900172363,"MSP550","Zn"
"KL",9.89793626219529,3.13548525562566,3.15674782537615,0.0045745786329269,"MSP550.Zn",54.486900172363,"MSP550","Zn"
"Qmax",24.116821859399,2.95957133661882,8.14875504469219,4.34183412949119e-08,"OSR550.Cd",131.950241070459,"OSR550","Cd"
"KL",0.870334347880487,0.255097484659228,3.41177157839531,0.00250005933964909,"OSR550.Cd",131.950241070459,"OSR550","Cd"
"Qmax",49.4980493206368,5.22002089727223,9.48234696656148,3.14685285724705e-09,"OSR550.Pb",175.856443245322,"OSR550","Pb"
"KL",3.69391295246344,1.06977205718076,3.4529906886877,0.00226544297305927,"OSR550.Pb",175.856443245322,"OSR550","Pb"
"Qmax",9.06166670492336,0.375815278214117,24.1120231939069,2.58971034090689e-17,"OSR550.Zn",67.439105160194,"OSR550","Zn"
"KL",9.85702095816762,1.5267356356153,6.45627227676199,1.7024359493872e-06,"OSR550.Zn",67.439105160194,"OSR550","Zn"
"Qmax",24.4548403061547,3.48061663187156,7.02600800163536,4.74685319948626e-07,"OSR700.Cd",145.806618229441,"OSR700","Cd"
"KL",1.84197656846984,0.594817035760274,3.09671118634908,0.00526543819455685,"OSR700.Cd",145.806618229441,"OSR700","Cd"
"Qmax",61.70269261168,4.2812538765721,14.4122947133151,1.28929777637866e-13,"OSR700.Pb",195.78421706606,"OSR700","Pb"
"KL",4.42835413390133,0.922461431533901,4.80058459087845,6.24704323056094e-05,"OSR700.Pb",195.78421706606,"OSR700","Pb"
"Qmax",11.7878736453049,0.91132251791536,12.9349087875822,9.28888584702434e-12,"OSR700.Zn",100.986821003708,"OSR700","Zn"
"KL",9.94137855826925,2.31573583174643,4.29296745422464,0.000294975326542105,"OSR700.Zn",100.986821003708,"OSR700","Zn"
"Qmax",23.3501153148779,3.10528540013506,7.51947480056496,1.62502414773373e-07,"WSP550.Cd",125.145167618053,"WSP550","Cd"
"KL",0.538496461523057,0.170612380052029,3.15625666413445,0.00457985780418784,"WSP550.Cd",125.145167618053,"WSP550","Cd"
"Qmax",46.6667763161224,3.73374439762401,12.4986531873524,2.98611915402763e-12,"WSP550.Pb",183.262778492521,"WSP550","Pb"
"KL",3.597104095489,0.842070549199937,4.27173720646881,0.000245929032800225,"WSP550.Pb",183.262778492521,"WSP550","Pb"
"Qmax",6.60764668305432,0.762818000980846,8.66215358651484,1.53816668216811e-08,"WSP550.Zn",101.688436084328,"WSP550","Zn"
"KL",21.3208205047852,7.48308862322753,2.84920058792373,0.00932961386390227,"WSP550.Zn",101.688436084328,"WSP550","Zn"
